Book_ID,Title,Image_Path,Author_First,Author_Last,Review_Score,Description
0,A Brief History of Everything,./images/Bookshelf_Images/All_Non_Fiction_Images/A_Brief_History_of_Everything.JPG,Ken,Wilber,4,"In a breathtaking trip from the Big Bang to the Postmodern world we inhabit, Ken Wilber examines the universe and our place in it, and comes up with an accessible and entertaining account of how it all fits together"
1,A Brief History of Time,./images/Bookshelf_Images/All_Non_Fiction_Images/A_Brief_History_of_Time.JPG,Steven,Hawking,5,From the Big Bang to Black Holes is a book on theoretical cosmology by English physicist Stephen Hawking. It was first published in 1988. Hawking wrote the book for readers who had no prior knowledge of physics and people who are interested in learning something new about interesting subjects.
2,A Higher Loyalty,./images/Bookshelf_Images/All_Non_Fiction_Images/A_Higher_Loyalty.JPG,James,Comey,4,"A Higher Loyalty: Truth, Lies, and Leadership is a book by James Comey, the former Director of the Federal Bureau of Investigation, discussing ethics and leadership Comey encountered throughout his life, his career in public office, and his relationship with President Donald Trump, who fired him in May 2017."
3,A Random Walk Down Wall Street,./images/Bookshelf_Images/All_Non_Fiction_Images/A_Random_Walk_Down_Wall_Street.JPG,Burton,Malkiel,4,"A Random Walk Down Wall Street, written by Burton Gordon Malkiel, a Princeton University economist, is a book on the subject of stock markets which popularized the random walk hypothesis."
4,A Promised Land,./images/Bookshelf_Images/All_Non_Fiction_Images/Barack_Obama.JPG,Barack,Obama,4,"Remaining focused on his political career, the presidential memoir documents Obama's life from his early years through the events surrounding the killing of Osama bin Laden in May 2011."
5,Big Debt Crises,./images/Bookshelf_Images/All_Non_Fiction_Images/Big_Debt_Crises.JPG,Ray,Dalio,4,"One of the world's most successful investors, Ray Dalio, shares his unique template for how debt crises work and principles for dealing with them well."
6,Brotopia,./images/Bookshelf_Images/All_Non_Fiction_Images/Brotopia.JPG,Emily,Chang,2,"Silicon Valley is a modern utopia where anyone can change the world. Unless you're a woman. For women in tech, Silicon Valley is not a fantasyland of unicorns, virtual reality rainbows, and 3D-printed lollipops, where millions of dollars grow on trees."
7,Celtic Myths and Legends,./images/Bookshelf_Images/All_Non_Fiction_Images/Celtic_Myths_and_Legends.JPG,T.W.,Rolleston,4,Celtic legends spring to life in this stunningly vivid book that combines illustrations and photographs with written accounts of a bygone civilization. 200 illustrations and 100 color and black-and-white photographs
8,Chaos,./images/Bookshelf_Images/All_Non_Fiction_Images/Chaos.JPG,James,Gleick,4,Chaos: Making a New Science is a debut non-fiction book by James Gleick that initially introduced the principles and early development of the chaos theory to the public.
9,CIA Lock Picking,./images/Bookshelf_Images/All_Non_Fiction_Images/CIA_Lock_Picking.JPG,CIA, ,3,"A do it youself guide to all things lockpicking. This guide was compiled from old CIA lockpicking education materials, and includes excellent visuals and practical advise for picking and raking locks."
10,Citizen,./images/Bookshelf_Images/All_Non_Fiction_Images/Citizen.JPG,Claudia,Rankine,3,Citizen: An American Lyric is a 2014 book-length poem and a series of lyric essays by American poet Claudia Rankine. Citizen stretches the conventions of traditional lyric poetry by interweaving several forms of text and media into a collective portrait of racial relations in the United States.
11,Code,./images/Bookshelf_Images/All_Non_Fiction_Images/Code.JPG,Charles,Petzold,4,Code: The Hidden Language of Computer Hardware and Software is a book by Charles Petzold that seeks to teach how personal computers work at a hardware and software level.
12,Collapse,./images/Bookshelf_Images/All_Non_Fiction_Images/Collapse.JPG,Jared,Diamond,5,"Collapse: How Societies Choose to Fail or Succeed is a 2005 book by academic and popular science author Jared Diamond, in which the author first defines collapse: ""a drastic decrease in human population size and/or political/economic/social complexity, over a considerable area, for an extended time."
13,Decline and Fall of the Roman Empire,./images/Bookshelf_Images/All_Non_Fiction_Images/Decline_and_Fall_of_the_Roman_Empire.JPG,Edward,Gibbon,4,The History of the Decline and Fall of the Roman Empire is a six-volume work by the English historian Edward Gibbon. It traces Western civilization from the height of the Roman Empire to the fall of Byzantium in the fifteenth century.
14,Deep Thinking,./images/Bookshelf_Images/All_Non_Fiction_Images/Deep_Thinking.JPG,Gary,Kasparov,3,Garry Kasparov's 1997 chess match against the IBM supercomputer Deep Blue was a watershed moment in the history of technology. It was the dawn of a new era in artificial intelligence: a machine capable of beating the reigning human champion at this most cerebral game.
15,Dialogues on Love & Friendship,./images/Bookshelf_Images/All_Non_Fiction_Images/Dialogues_on_Love_&_Friendship.JPG,Plato, ,3,"Plato’s views on love are a meditation on Socrates and the power his philosophical conversations have to mesmerize, obsess, and educate."
16,Easy as Pi,./images/Bookshelf_Images/All_Non_Fiction_Images/Easy_as_Pi.JPG,Jamie,Buchan,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod autem magnum dolorem brevem, longinquum levem esse dicitis, id non intellego quale sit. Quorum altera prosunt, nocent altera. Ita graviter et severe voluptatem secrevit a bono. Quid ergo attinet dicere:Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod autem magnum dolorem brevem, longinquum levem esse dicitis, id non intellego quale sit. "
